genres,danceability,energy,valence,tempo,cluster,cluster_dbscan,cluster_hc,Cluster_Label,pca1,pca2
['jazz guitar'],0.515,0.0848,0.603,96.403,0,0.0,0,Instrumental / Acoustic,-21.248434135283247,-0.24246618093690053
['vintage jazz'],0.406,0.25,0.384,80.541,0,0.0,0,Instrumental / Acoustic,-37.11028003932901,-0.3215228179466351
['vocal jazz'],0.513,0.328,0.51,121.449,0,0.0,0,Instrumental / Acoustic,3.79783392658733,-0.2079061019516648
"['adult standards', 'bebop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'vocal jazz']",0.517,0.133,0.276,103.573,0,0.0,0,Instrumental / Acoustic,-14.078662037620788,-0.46910314894789784
"['adult standards', 'bebop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'vocal jazz']",0.469,0.348,0.567,142.363,0,0.0,1,Instrumental / Acoustic,24.711899800640197,-0.19824864235793493
"['adult standards', 'bebop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'vocal jazz']",0.341,0.0429,0.0823,88.257,0,0.0,0,Instrumental / Acoustic,-29.394870704088376,-0.6999032439018579
"['adult standards', 'bebop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'vocal jazz']",0.436,0.19,0.661,162.042,0,0.0,0,Instrumental / Acoustic,44.39070576196278,-0.25921971042657643
"['adult standards', 'bebop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'vocal jazz']",0.491,0.418,0.822,111.869,0,0.0,1,Instrumental / Acoustic,-5.781712493718146,0.08515531310613689
"['adult standards', 'bebop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'vocal jazz']",0.38,0.461,0.531,182.147,0,0.0,1,Instrumental / Acoustic,64.49602064755086,-0.2460465391994654
['traditional country'],0.827,0.386,0.946,95.634,1,0.0,1,Mainstream / Party,-22.016782674953134,0.28975422831645603
['adult standards'],0.754,0.424,0.806,119.705,1,0.0,1,Mainstream / Party,2.054144320756052,0.14857616013150288
['adult standards'],0.615,0.406,0.641,112.036,1,0.0,1,Mainstream / Party,-5.614952740187263,-0.018254118162960187
['lounge'],0.767,0.455,0.962,95.32,1,0.0,1,Mainstream / Party,-22.330627008435414,0.32333578505904237
"['bossa nova', 'mpb', 'velha guarda']",0.407,0.241,0.234,97.853,0,0.0,0,Instrumental / Acoustic,-19.798461103587883,-0.4641581878374388
"['bossa nova', 'mpb', 'velha guarda']",0.329,0.274,0.225,86.971,0,0.0,1,Instrumental / Acoustic,-30.68035851252405,-0.4604451015476763
['pop romantico'],0.693,0.767,0.696,175.535,1,0.0,1,Mainstream / Party,57.88453108117912,0.16460529129953572
"['classic arab pop', 'lebanese pop', 'rif']",0.431,0.328,0.579,98.925,0,0.0,1,Instrumental / Acoustic,-18.726024232633165,-0.14918777303539466
"['classic arab pop', 'lebanese pop', 'rif']",0.464,0.294,0.211,84.098,0,0.0,1,Instrumental / Acoustic,-33.553396931825375,-0.41224918319704246
['chanson'],0.485,0.206,0.666,94.992,0,0.0,1,Instrumental / Acoustic,-22.659163546128525,-0.13218295830857174
['keroncong'],0.43,0.309,0.547,71.609,0,0.0,1,Instrumental / Acoustic,-46.04203309646951,-0.14441970089617095
['keroncong'],0.412,0.261,0.568,77.841,0,0.0,1,Instrumental / Acoustic,-39.81009549915541,-0.17150146569653058
['fado'],0.683,0.183,0.534,89.202,0,0.0,0,Instrumental / Acoustic,-28.449401920683485,-0.17309826773080528
['doo-wop'],0.358,0.969,0.962,183.868,1,0.0,1,Mainstream / Party,66.21824098282187,0.36286822551361353
['jovem guarda'],0.703,0.666,0.746,131.049,1,0.0,1,Mainstream / Party,13.398488273031006,0.2117188525833914
['nashville sound'],0.56,0.441,0.527,101.858,1,0.0,1,Mainstream / Party,-15.79295291402208,-0.08572334145361005
['hard bop'],0.578,0.25,0.702,124.861,0,0.0,0,Instrumental / Acoustic,7.2098414739062235,-0.09397206729148866
['velha guarda'],0.69,0.335,0.892,110.846,0,0.0,1,Instrumental / Acoustic,-6.804877305302327,0.1538530516975941
['romantico'],0.376,0.668,0.497,114.048,1,0.0,0,Mainstream / Party,-3.602545309027988,-0.052277114502786715
['romantico'],0.462,0.378,0.503,113.371,0,0.0,0,Instrumental / Acoustic,-4.280051903873385,-0.18835207743051963
['romantico'],0.327,0.723,0.344,107.221,0,0.0,0,Instrumental / Acoustic,-10.429556751887901,-0.14031640863487094
['romantico'],0.441,0.633,0.639,112.148,1,0.0,1,Mainstream / Party,-5.502502619012148,0.057057699080050206
['romantico'],0.369,0.639,0.484,108.574,0,0.0,0,Instrumental / Acoustic,-9.076590814423412,-0.07307653654411594
['latin jazz'],0.846,0.471,0.802,128.666,1,0.0,1,Mainstream / Party,11.01515739220639,0.18896641208432952
